Name,Category,HD,+/-,Num,Spd,Alt Spd,Atk,Def,Description,T1,T2,T3,Tags
Bison,Soldier,4,,3d10,90,,DEX,DEX,"Wild herd animal, often skittish and likely to flee if provoked, but males are more aggressive in the presence of females.",,,,"basic-fantasy, beast"
Black Pudding,Predator,10,9,1,20,,CON,CON,"Black puddings are amorphous creatures that live only to eat.   They inhabit underground areas throughout the world, scouring caverns, ruins, and dungeons in search of organic matter, living or dead.  They attack any creatures they encounter, lashing out with pseudopods or simply engulfing opponents with their bodies, which secrete acids that help them catch and digest their prey.
The typical black pudding measures 10 feet across and 2 feet thick, and weighs about 10,000 pounds.
Black puddings of smaller sizes may be encountered, possibly as a result of the splitting.",Weapons do no damage but split into two smaller puddings dividing HP between them.,,,"basic-fantasy, ooze"
Blink Dog,Soldier,4,,d6,30,120,DEX,DEX,"The blink dog is an intelligent canine that has a limited teleportation ability.
Blink dogs hunt in packs, teleporting in a seemingly random fashion until they surround their prey.
Blink dogs are medium-sized dogs, typically light brown in color and short haired, though other varieties are rumoured to exist. They have their own language, a mixture of barks, yaps, whines, and growls that can transmit complex information.
They are usually shy, avoiding a fight if possible, but they hate displacers and will generally attack them on sight.",Teleport 120ft Quick,,,"basic-fantasy, fey"
Blood Rose,Predator,2,,d8,1,,DEX,DEX,"Blood roses appear to be normal rose bushes, but are actually animated plants, dimly aware of their surroundings. These plants are always in bloom, bearing beautiful flowers that are normally white (or rarely, yellow) in colour.
The blood rose has a whiplike cane which is used to drain blood from its victims.","Fragrance 30ft radius WIS save each round or become befuddled.
Befuddled characters will not resist the plant-creature's attack.","Whiplike cane, range 30ft drains blood",,"basic-fantasy, plant"
Boar,Brute,3,,d6,60,,STR,STR,"Though not carnivores, these wild swine are badtempered and usually charge anyone who disturbs them. Note that “boar” refers specifically to the male of the species, but females are equally large and fierce.
A boar is covered in coarse, grayish-black fur.
Adults are about 4 feet long and 3 feet high at the shoulder.",,,,"basic-fantasy, beast"
Bone Thing,Predator,3,,d2,30,,DEX,DEX,"Appearing as an asymmetrical collection of animate bones that have taken a crude human shape, bone things attack with a flurry of splintered bone fists.",3 attacks per round (d6 damage each.),Undead creature - immune to sleep and charm spells.,,"stonehell, undead"
Brigand,Soldier,1,,d6,30,,STR,DEX,,,,,humanoid
Bugbear (Female),Predator,2,1,2d4,30,,STR,DEX,"Bugbears look like huge, hairy goblins, standing about 6 feet tall. Their eyes are usually a darkish brown color and they move very quietly.
They are wild and relatively fearless, and bully smaller humanoids whenever possible.
Bugbears prefer to ambush opponents if they can. When hunting, they often send scouts ahead of the main group.
Bugbear attacks are coordinated, and their tactics are sound if not brilliant.
They are able to move in nearly complete silence.",Advantage to stealth checks,,,"basic-fantasy, goblinoid, humanoid"
Bugbear (Male),Predator,3,1,2d4,30,,STR,DEX,"Bugbears look like huge, hairy goblins, standing about 6 feet tall. Their eyes are usually a darkish brown color and they move very quietly.
They are wild and relatively fearless, and bully smaller humanoids whenever possible.
Bugbears prefer to ambush opponents if they can. When hunting, they often send scouts ahead of the main group.
Bugbear attacks are coordinated, and their tactics are sound if not brilliant.
They are able to move in nearly complete silence.",Advantage to stealth checks,,,"basic-fantasy, goblinoid, humanoid"
"Caecilia, Giant",Predator,6,,d3,20,,STR,STR,"Caecilia are carnivorous, legless amphibians; they strongly resemble earthworms, but they have bony skeletons and sharp teeth. Caecilia live entirely underground. The giant variety grows up to 30' long and frequently are found in caverns or dungeons.
Once a caecilia has swallowed an opponent, it will generally attempt to disengage from combat, going to its lair to rest and digest its meal.",Blindsight 60ft.,"Hit: on a score of 20+ the caecilia swallows its target - restrained, damage per round and can fight from inside with small weapons e.g. dagger",,"basic-fantasy, beast"
Camel,Soldier,2,,2d4,60,40,STR,STR,"Camels are known for their ability to travel long distanceswithout food or water.
The statistics presented here are forthe dromedary, or one-humped camel, which thrives inwarm deserts.  A dromedary stands about 7 feet tall at theshoulder, with its hump rising 1 foot higher.
The two-humped, or Bactrian, camel is suited to cooler, rockyareas.  It is stockier, slower (speed given in brackets), andtougher than the dromedary.
A camel can carry up to 80 LOAD.","Domedary moves 60ft, Bactrian moves 40ft",,,"basic-fantasy, beast"
Cantaur,Soldier,4,,2d10,60,,STR,STR,"Centaurs appear to be half human, half horse, having the torso, arms and head of a human in the position a horse's head would otherwise occupy. A centaur is as big as a heavy horse, but much taller and slightly heavier; average centaur are about 7 feet tall and weigh about 2,100 pounds.
Centaurs are generally haughty and aloof, but very honorable. Most would rather die than allow humans, demi-humans, or humanoids to ride on their backs.",,,,"basic-fantasy, monstrosity"
Carrion Crawler,Predator,3,1,d3,40,40,DEX,DEX,"This scavenger is worm-shaped, 9' long and 3' high with many legs.   Its mouth is surrounded by 8 tentacles, each 2' long.",Can walk on walls and ceiling,"8 tentacles, each 2' long, which can paralyze on a successful hit
CON Saving Throw
Lasts d8 turns
Once paralyzed, a victim will be eaten (unless the carrion crawler is being attacked).
The paralysis can be removed by a cure light wounds spell, but any spell so used will have no other effect.",,"basic-set, monstrosity"
"Centipede, Giant",Predator,0.5,,2d4,30,30,DEX,DEX,"Giant centipedes are larger versions of the normal sort, being 2 to 3 feet long.
Centipedes are fast-moving, predatory, venomous arthropods, having long segmented bodies with exoskeletons.
They prefer to live in underground areas, shadowy forested areas, and  other places out of direct sunlight; however, there are desert dwelling varieties that hide under the sand waiting for prey to wander by.","Their bite does no damage, but the victim must save vs. Poison or become violently ill for 10 days. Characters who do not save move at 1/2 speed and will not be able to perform any other physical action",,,"basic-fantasy, beast"
"Centipede, Giant Red",Predator,1,-1,d8,30,,DEX,DEX,These 2‘ long scarlet centipedes are more vicious and toxic then their smaller cousins.,CON save or double damage,,,"stonehell, beast"
Cheetah,Predator,2,,d3,120,,DEX,DEX,"A Cheetah is one of the fastest land animals - a large (about 100 pounds) cat capable of reaching up to 75 miles per hour when running. It hunts alone or in small groups (usually composed of siblings). It will rarely attack humans unless compelled to do so, but a  female will ferociously defend her young.",,,,"basic-fantasy, beast"
Chimera,Brute,9,8,d2,30,60,STR,STR,"Chimeras are strange creatures having a lion's body with the heads of a lion, a goat, and a dragon, and the wings of a dragon. A chimera is about 5 feet tall at the shoulder, nearly 10 feet long, and weighs about 4,000 pounds.
A chimera’s dragon head might be black, blue, green, red, or white, and has the same type of breath weapon as that sort of dragon.
Chimeras are cruel and voracious. They can speak Dragon but seldom bother to do so, except when toadying to more powerful creatures.",Flying 60ft.,The dragon's head breathes a 50' long cone with a 10' wide end,,"basic-fantasy, monstrosity"
Cockatrice,Predator,5,,d4,30,60,DEX,DEX,"A cockatrice is a strange creature, appearing to be a chicken (hen or rooster) with a long serpentine neck and tail; the neck is topped by a more or less normal looking chicken head.
A male cockatrice has wattles and a comb, just like a rooster. Females, much rarer than males, differ only in that they have no wattles or comb. A cockatrice weighs about 25 pounds. A cockatrice is no more intelligent than any animal, but they are bad-tempered and prone to attack if disturbed.",Flying 60ft.,Touch CON save or be petrified,,"basic-fantasy, monstrosity"
"Crab, Giant",Predator,3,,d6,20,20,STR,STR,"Giant crabs naturally resemble the ordinary variety, but are much larger, averaging 5' in diameter (not counting their legs). These creatures are often found in water-filled caves, particularly those connected to a river, lake or sea, and are tolerant of both fresh and salt water. Also, they are able to live in stagnant water, though they prefer a better environment.",Swimming 20ft.,"360 vision, adv. to PER check",,"basic-fantasy, beast"
Crocodile,Predator,2,,d8,30,30,STR,STR,"Crocodiles are aggressive predators 11 to 12 feet long.
They lie mostly submerged in rivers or marshes, with only their eyes and nostrils showing, waiting for prey to come within reach; when in their natural element.",Swimming 30ft.,Adv. to Stealth checks,,"basic-fantasy, beast"
"Crocodile, Giant",Predator,8,40,d3,30,30,STR,STR,"Giant crocodiles are aggressive predators generally over 20 feet long.
They lie mostly submerged in rivers or marshes, with only their eyes and nostrils showing, waiting for prey to come within reach; when in their natural element.",Swimming 30ft.,Adv. to Stealth checks,,"basic-fantasy, beast"
"Crocodile, Large",Predator,4,10,d4,30,30,STR,STR,"Large crocodiles are aggressive predators 121to 20 feet long.
They lie mostly submerged in rivers or marshes, with only their eyes and nostrils showing, waiting for prey to come within reach; when in their natural element.",Swimming 30ft.,Adv. to Stealth checks,,"basic-fantasy, beast"
Crypt Shade,Brute,2,,d2,30,,CON,CON,"This undead creature is a roughly human-shaped collection of shadows, dust, rotted burial linens, bone fragments, and other sepulcher debris. Spawned from chaos and lingering hate, crypt shades feed on the fear and pain of their victims.
They attack by engulfing victims within the shifting cloud of grave detritus that gives them shape.",Undead creature - immune to sleep and charm spells.,Resistant to physical damage (50%),,"stonehell, undead"
Deer,Soldier,1,,3d10,90,,DEX,DEX,"Wild herd animal, often skittish and likely to flee if provoked, but males are more aggressive in the presence of females.",,,,"basic-fantasy, beast"
"Dinosaur, Deinonychus",Predator,3,,2d3,60,,DEX,DEX,"The Deinonychus (sometimes mistakenly called a ""Velociraptor"") is a medium-sized feathered dinosaur weighting approximately 150 pounds and reaching about 11 feet of length (tail included). It is an avid predator and a skilled pack-hunter; its warm blood, aerodynamic build and vicious maw allow it to feed on larger but more primitive dinosaurs.",,,,"basic-fantasy, beast"
"Dinosaur, Pteranodon",Predator,5,,d4,10,60,DEX,DEX,"Pteranodons are essentially giant-sized pterodactyls, having wingspans of 25 feet or more. They are predators, and may attack adventuring parties.",Flying 60ft.,,,"basic-fantasy, beast"
"Dinosaur, Pterodactyl",Predator,1,,2d4,10,60,DEX,DEX,"Pterodactyls are prehistoric winged reptilian creatures, having a wingspan of around 25 to 30 inches. Though they eat mostly fish, they may attack smaller characters or scavenge unguarded packs.",Flying 60ft.,,,"basic-fantasy, beast"
"Dinosaur, Stegosaurus",Brute,11,,d4,20,,STR,STR,"Although fearsome looking, the stegosaurus is actually a peaceable creature and will only fight in self-defense, either biting, trampling, or using its spiked tail, depending on where the opponent is standing in relation to the dinosaur. A stegosaurus can't use its tail and bite attacks against the same creature in the same round.",Attacks with either bite or tail each round,,,"basic-fantasy, beast"
"Dinosaur, Triceratops",Brute,11,,d4,30,,STR,STR,"A triceratops is a three-horned herbivorous dinosaur.
They are aggressive toward interlopers, attacking anyone who might appear to be a threat. These creatures are about 25 feet long and weigh about 20,000 pounds. A triceratops will usually attempt to trample smaller opponents. ",Charge: may double movement and attack in a single round,,,"basic-fantasy, beast"
"Dinosaur, Tyrannosaurus Rex",Predator,18,,d4,30,,STR,STR,"The tyrannosaurus rex is a bipedal carnivorous dinosaur. Despite its enormous size and 6-ton weight, a tyrannosaurus is a swift runner. Its head is nearly 6 feet long, and its teeth are from 3 to 6 inches in length. It is slightly more than 30 feet long from nose to tail. A
tyrannosaurus pursues and eats just about anything it sees.
Its tactics are simple – charge in and bite",,,,"basic-fantasy, beast"
Displacer Beast,Predator,6,,d4,60,,DEX,DEX,"Displacers are blue-black, catlike monsters with strange bladed winglike arms extending from their shoulders. The blades are carried folded back like wings, but the Displacer swings the blades around in front to attack.",Displacement illusion - DisAdv. to hit the displacer,,,"basic-fantasy, monstrosity"
Djinni,Shaper,7,1,1,30,90,DEX,DEX,"The djinn (singular djinni) are humanoid creatures from the Elemental Plane of Air. A djinni in its natural form is about 10½ feet tall and weighs about 1,000 pounds.
Djinn disdain physical combat, preferring to use their magical powers and aerial abilities against foes.","Flying 90ft.
Immunity to non-magical weapons","Spells: Create food, drink and normal items, Create Illusions, Gaseous Form, Invisibility, Phantasmal Force",Assume whirlwind form at will (become air elemental),"basic-fantasy, elemental"
Dog,Soldier,1,1,3d4,60,,STR,STR,"Normal dogs include most medium and large breeds, including wild dogs.","On a hit: bite and hold on, grappled, damage each round and contested STR check",,,"basic-fantasy, beast"
"Dog, Riding",Soldier,2,,0,60,,STR,STR,"Riding dogs are a large breed, used primarily by Halflings for transport.
A riding dog can carry up to 30 LOAD.","On a hit: bite and hold on, grappled, damage each round and contested STR check",,,"basic-fantasy, beast"
Donkey,Soldier,2,,2d4,30,,STR,STR,"Donkeys  are long-eared, horselike creatures.   They aresurefooted and sturdy, and can be taken into dungeons or caverns.
A donkey can carry up to 14 LOAD.",,,,"basic-fantasy, beast"
Doom Lure,Shaper,1,1,d2,30,,STR,CON,"Doom lures are simulacra of living beings created by the nixthisis to assist in feeding its pathosphagous urges.
These creatures lure potential meals into situations that invoke intense emotional responses ranging from pleasure to pain.
Doom lures coax adventurers into traps, ambushes, or other situations that lead to suffering and death. The solid emotions that comprise their forms are claylike in texture and malleability, and are shaped to resemble not only creature that the doom lure mimics, but the accoutrements and clothing of that entity as well.
When slain, doom lures dissipate into gas, leaving only a greasy slick behind.
","1 in 6 chance of detecting that ""something's not right""",Cannot speak,"If cornered, they attack with a scream that unleashes a blast of raw emotions in a 20‘ cone.
This scream inflicts 1d6 points of damage to those within the blast and forces the victims to pass a WIS check or become overwhelmed the type of emotion from which the doom lure is created.
See table.","stonehell, monstrosity"
Doppelganger,Predator,3,,d6,30,,STR,STR,"Dopplegangers are strange beings that are able to take on the shapes of those they encounter; they can also read minds (as the spell, ESP, but with no limit of duration). In its natural form, the creature looks more or less humanoid, but slender and frail, with gangly limbs and half-formed features. The flesh is pale and hairless. Its large, bulging eyes are yellow with slitted pupils.","Shapechanger: The Doppelganger can use its action to Polymorph into a Small or Medium Humanoid it has seen, or back into its true form.
Its Statistics, other than its size, are the same in each form.
Any Equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.",Read Thoughts: The Doppelganger magically reads the surface thoughts of one creature within 60 ft. of it.,,"basic-fantasy, monstrosity"
Dragon Turtle,Predator,30,,1,10,30,STR,STR,"A dragon turtle's rough, deep green shell is much the same color as the deep water the monster favors, and the silver highlights that line the shell resemble light dancing on open water.
The turtle’s legs, tail, and head are a lighter green, flecked with golden highlights. An adult dragon turtle can measure from 100 to 200 feet from snout to tail. They are occasionally mistaken for rocky outcroppings or even small islands.
Dragon turtles are fierce fighters and generally attack any creature that threatens their territory or looks like a potential meal.",Immunity to poison,3 attacks or Steam breath 100ft cloud,Swimming 30ft,"basic-fantasy, dragon"
Dragon Turtle (Ancient),Predator,45,,1,10,30,STR,STR,"A dragon turtle's rough, deep green shell is much the same color as the deep water the monster favors, and the silver highlights that line the shell resemble light dancing on open water.
The turtle’s legs, tail, and head are a lighter green, flecked with golden highlights. An adult dragon turtle can measure from 100 to 200 feet from snout to tail. They are occasionally mistaken for rocky outcroppings or even small islands.
Dragon turtles are fierce fighters and generally attack any creature that threatens their territory or looks like a potential meal.",Immunity to poison,3 attacks or Steam breath 175ft cloud,Swimming 30ft,"basic-fantasy, dragon"
Dragon Turtle (Young),Predator,15,,1,10,30,STR,STR,"A dragon turtle's rough, deep green shell is much the same color as the deep water the monster favors, and the silver highlights that line the shell resemble light dancing on open water.
The turtle’s legs, tail, and head are a lighter green, flecked with golden highlights. An adult dragon turtle can measure from 100 to 200 feet from snout to tail. They are occasionally mistaken for rocky outcroppings or even small islands.
Dragon turtles are fierce fighters and generally attack any creature that threatens their territory or looks like a potential meal.",Immunity to poison,3 attacks or Steam breath 500ft cloud,Swimming 30ft,"basic-fantasy, dragon"
"Dragon, Ancient Black",Predator,10,,1,30,90,STR,STR,"Black dragons prefer to ambush their targets, using their surroundings as cover. When fighting in heavily forested swamps and marshes, they try to stay in the water or on the ground; trees and leafy canopies limit their aerial maneuverability.
When outmatched, a black dragon attempts to fly out of sight, so as not to leave tracks, and hide in a deep pond or bog.
Black dragons are more cruel than white dragons, but are still motivated mostly by the urge to live, breed and collect valuable items.",Immunity to acid,3 attacks or Acid breath 100ft line,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Ancient Blue",Predator,12,,1,30,90,STR,STR,"Blue dragons love to soar in the hot desert air, usually flying in the daytime when temperatures are highest.
Some nearly match the color of the desert sky and use this coloration to their advantage. Their vibrant color makes blue dragons easy to spot in barren desert surroundings. However, they often burrow into the sand so only part of their heads are exposed, waiting until opponents come within 100 feet to spring out and attack.
They particularly enjoy tricking intelligent prey into entering their lairs or passing by their hiding places to be ambushed and killed; usually one member of a party attacked by a blue dragon will be left alive for a while, and the dragon will play with that person as a cat plays with a mouse.",Immunity to lightning,3 attacks or Lightning breath 120ft line,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Ancient Gold",Predator,14,,1,30,90,STR,STR,"Gold dragons usually parley before fighting.
Unlike many other dragons, gold dragons are not cruel and do not seek to kill for pleasure. Many tales are told of gold dragons offering assistance to adventurers.
They are, however, every bit as avaricious as any dragon; adventurers in need of gold need not bother asking for a loan.",Immunity to poison and fire,3 attacks or Poison breath 110ft line,"Spells: Cloudkill, Sleep, Slow, Take human form","basic-fantasy, dragon"
"Dragon, Ancient Green",Predator,11,,1,30,90,STR,STR,"Green dragons initiate fights with little or no provocation, picking on creatures of any size. If the target is intriguing or seems formidable, the dragon stalks the creature to determine the best time to strike and the most appropriate tactics to use.
If the target appears weak, the dragon makes its presence known quickly – it enjoys evoking terror.
Green dragons especially like to question adventurers to learn more about their society and abilities, what is going on in the countryside, and if there is treasure nearby. Adventurers may be allowed to live so long as they remain interesting… but woe to them when the dragon becomes bored.",Immunity to poison,3 attacks or Poison breath 100ft cloud,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Ancient Red",Predator,13,,1,30,90,STR,STR,"Because red dragons are so confident, they seldom pause to appraise an adversary. On spotting a target, they make a snap decision whether to attack, using one of many strategies worked out ahead of time.
A red dragon lands to attack small, weak creatures with its claws and bite rather than obliterating them with its breath weapon, so as not to destroy any treasure they might be carrying.
Red dragons are cruel monsters, actively seeking to hunt, torment, kill and consume intelligent creatures.",Immunity to fire,3 attacks or Fire breath 110ft cone,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Ancient Sea",Predator,11,,1,10,60,STR,STR,"These dragons have much the same physical structure as other dragons, but their feet are webbed and their tails are short, flat and broad; these adaptations help the sea dragon swim efficiently, but severely limit their ability to walk on dry land.
Sea dragons are a deep slate colour.
They are motivated completely by a drive to live, to reproduce, and (of course) to accumulate treasure; they kill to live, not for pleasure.",Swimming and Flying  60ft.,3 attacks or Steam breath 100ft cloud,,"basic-fantasy, dragon"
"Dragon, Ancient White",Predator,9,,1,30,90,STR,STR,"White Dragons prefer to live in cold regions, whether in the highest mountains or in the cold northern lands. They are the least intelligent of dragons, though this does not mean that they are stupid by any stretch of the imagination.
They are motivated completely by a drive to live, to reproduce, and (of course) to accumulate treasure; they kill to live, not for pleasure.
White dragons prefer sudden assaults, swooping down from aloft or bursting from beneath water, snow, or ice. Typically, a white dragon begins with its icy breath weapon, then tries to eliminate a single opponent with a follow-up attack.",Immunity to cold,3 attacks or Cold breath 95ft cone,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Black",Predator,7,,1,30,90,STR,STR,"Black dragons prefer to ambush their targets, using their surroundings as cover. When fighting in heavily forested swamps and marshes, they try to stay in the water or on the ground; trees and leafy canopies limit their aerial maneuverability.
When outmatched, a black dragon attempts to fly out of sight, so as not to leave tracks, and hide in a deep pond or bog.
Black dragons are more cruel than white dragons, but are still motivated mostly by the urge to live, breed and collect valuable items.",Immunity to acid,3 attacks or Acid breath 70ft line,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Blue",Predator,9,,1,30,90,STR,STR,"Blue dragons love to soar in the hot desert air, usually flying in the daytime when temperatures are highest.
Some nearly match the color of the desert sky and use this coloration to their advantage. Their vibrant color makes blue dragons easy to spot in barren desert surroundings. However, they often burrow into the sand so only part of their heads are exposed, waiting until opponents come within 100 feet to spring out and attack.
They particularly enjoy tricking intelligent prey into entering their lairs or passing by their hiding places to be ambushed and killed; usually one member of a party attacked by a blue dragon will be left alive for a while, and the dragon will play with that person as a cat plays with a mouse.",Immunity to lightning,3 attacks or Lightning breath 80ft line,Flying 90ft,"basic-fantasy, dragon"
"Dragon, Gold",Predator,11,,1,30,90,STR,STR,"Gold dragons usually parley before fighting.
Unlike many other dragons, gold dragons are not cruel and do not seek to kill for pleasure. Many tales are told of gold dragons offering assistance to adventurers.
They are, however, every bit as avaricious as any dragon; adventurers in need of gold need not bother asking for a loan.",Immunity to poison and fire,3 attacks or Poison breath 70ft line,"Spells: Cloudkill, Sleep, Slow, Take human form","basic-fantasy, dragon"
"Dragon, Green",Predator,8,,1,30,90,STR,STR,"Green dragons initiate fights with little or no provocation, picking on creatures of any size. If the target is intriguing or seems formidable, the dragon stalks the creature to determine the best time to strike and the most appropriate tactics to use.
If the target appears weak, the dragon makes its presence known quickly – it enjoys evoking terror.
Green dragons especially like to question adventurers to learn more about their society and abilities, what is going on in the countryside, and if there is treasure nearby. Adventurers may be allowed to live so long as they remain interesting… but woe to them when the dragon becomes bored.",Immunity to poison,3 attacks or Poison breath 90ft cloud,Flying 90ft,"basic-fantasy, dragon"
